,id,title,genres,TMDB_score,TMDB_vote_count,rotten_score,rotten_aud_score,revenue,release_date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,4234,Scream 3,"['Horror', 'Mystery']",5.9,2092,40.0,37.0,161834276,2000-02-03,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,1907,The Beach,"['Drama', 'Adventure', 'Romance', 'Thriller']",6.4,3285,20.0,57.0,144056873,2000-02-03,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,15655,The Tigger Movie,"['Family', 'Animation', 'Comedy']",6.5,401,62.0,62.0,45554533,2000-02-11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,14181,Boiler Room,"['Crime', 'Drama', 'Thriller']",6.7,454,66.0,78.0,28780255,2000-02-18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,2069,The Whole Nine Yards,"['Comedy', 'Crime']",6.4,1298,44.0,64.0,106371651,2000-02-18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2787,Pitch Black,"['Thriller', 'Science Fiction', 'Action']",6.8,3347,60.0,77.0,53187659,2000-02-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,11004,Wonder Boys,"['Comedy', 'Drama']",6.9,409,81.0,83.0,0,2000-02-22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2155,Reindeer Games,"['Thriller', 'Action', 'Crime', 'Drama']",5.7,447,25.0,27.0,32168970,2000-02-25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,392,Chocolat,"['Comedy', 'Drama', 'Romance']",6.9,2543,62.0,83.0,152500343,2000-03-02,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,2067,Mission to Mars,"['Science Fiction', 'Thriller']",6.0,980,25.0,30.0,60874615,2000-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10,2046,The Gift,"['Horror', 'Drama', 'Thriller', 'Mystery']",6.4,797,91.0,75.0,12008642,2000-03-16,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
11,243,High Fidelity,"['Comedy', 'Drama', 'Romance', 'Music']",7.2,1398,91.0,90.0,47126295,2000-03-17,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
12,462,Erin Brockovich,['Drama'],7.4,2192,84.0,81.0,256271286,2000-03-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,9532,Final Destination,['Horror'],6.5,3896,35.0,68.0,112880294,2000-03-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,2085,Romeo Must Die,"['Action', 'Crime', 'Thriller']",6.1,808,32.0,61.0,91036760,2000-03-22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1900,Traffic,"['Thriller', 'Drama', 'Crime']",7.1,1441,92.0,85.0,207515725,2000-03-23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,2332,Taxi 2,"['Action', 'Comedy']",6.2,1214,,,64400000,2000-03-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10501,The Road to El Dorado,"['Family', 'Adventure', 'Animation', 'Comedy', 'Action']",7.2,2815,48.0,66.0,76432727,2000-03-31,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,10468,28 Days,"['Comedy', 'Drama']",6.0,639,33.0,50.0,6219894,2000-04-06,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,10479,Rules of Engagement,"['Action', 'Adventure', 'Drama', 'History', 'War']",6.2,471,37.0,55.0,71000000,2000-04-07,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
20,1359,American Psycho,"['Thriller', 'Drama', 'Crime', 'Horror']",7.3,6622,69.0,85.0,34266564,2000-04-13,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
21,4967,Keeping the Faith,"['Comedy', 'Romance']",6.1,438,69.0,59.0,59945183,2000-04-14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,3536,U-571,"['War', 'Drama', 'Action', 'Thriller']",6.4,822,67.0,62.0,127666415,2000-04-20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
23,10564,Where the Heart Is,"['Comedy', 'Drama', 'Romance']",7.1,494,10.0,58.0,33771174,2000-04-27,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24,889,The Flintstones in Viva Rock Vegas,"['Comedy', 'Family', 'Romance']",4.8,538,25.0,20.0,59468275,2000-04-28,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,10559,Frequency,"['Science Fiction', 'Thriller']",7.2,1176,70.0,81.0,68106245,2000-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,98,Gladiator,"['Action', 'Drama', 'Adventure']",8.2,13662,31.0,68.0,465361176,2000-05-01,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,5491,Battlefield Earth,"['Action', 'Adventure', 'Science Fiction', 'War']",3.1,565,3.0,12.0,21400000,2000-05-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28,71,Billy Elliot,"['Drama', 'Comedy', 'Music']",7.6,2929,85.0,89.0,109280263,2000-05-18,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,9285,Road Trip,"['Comedy', 'Adventure']",6.1,1353,57.0,65.0,119754278,2000-05-19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,10567,Dinosaur,"['Family', 'Animation']",6.5,1783,64.0,48.0,354248063,2000-05-19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,955,Mission: Impossible II,"['Adventure', 'Action', 'Thriller']",6.1,4806,71.0,69.0,546388105,2000-05-24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,8584,Shanghai Noon,"['Adventure', 'Action', 'Comedy', 'Western']",6.4,1853,79.0,65.0,56932305,2000-05-26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,9600,Big Momma's House,"['Crime', 'Comedy']",5.8,1706,30.0,57.0,173959438,2000-05-31,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9679,Gone in Sixty Seconds,"['Action', 'Crime', 'Thriller']",6.4,3227,25.0,77.0,237202299,2000-06-09,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,479,Shaft,"['Action', 'Adventure', 'Crime', 'Thriller']",6.0,877,33.0,94.0,107196498,2000-06-15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,55,Amores Perros,"['Drama', 'Thriller']",7.6,1709,93.0,94.0,20908467,2000-06-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,7450,Titan A.E.,"['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']",6.6,765,50.0,60.0,36754634,2000-06-16,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,7443,Chicken Run,"['Animation', 'Comedy', 'Family']",6.7,3635,97.0,65.0,224834564,2000-06-21,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,2123,"Me, Myself & Irene",['Comedy'],6.5,2790,47.0,57.0,149270999,2000-06-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2024,The Patriot,"['Drama', 'History', 'War', 'Action']",7.1,2800,62.0,81.0,215294342,2000-06-28,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
41,2133,The Perfect Storm,"['Action', 'Adventure', 'Drama', 'Thriller']",6.4,1572,47.0,64.0,325756637,2000-06-29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
42,16,Dancer in the Dark,"['Drama', 'Crime']",7.9,1214,69.0,91.0,40031879,2000-06-30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,146,"Crouching Tiger, Hidden Dragon","['Adventure', 'Drama', 'Action', 'Romance']",7.4,2247,97.0,86.0,213525736,2000-07-06,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
44,4247,Scary Movie,['Comedy'],6.3,4854,52.0,43.0,278019771,2000-07-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4244,The Kid,"['Fantasy', 'Comedy', 'Family']",6.4,670,66.0,67.0,69700000,2000-07-07,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46,10991,Pokémon 3: The Movie - Spell of the Unown,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",6.4,442,,,68411275,2000-07-08,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47,36657,X-Men,"['Adventure', 'Action', 'Science Fiction']",7.0,8802,82.0,83.0,296339527,2000-07-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,2655,What Lies Beneath,"['Drama', 'Horror', 'Mystery', 'Thriller']",6.4,1306,47.0,58.0,291420351,2000-07-21,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
49,12107,Nutty Professor II: The Klumps,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",5.0,961,26.0,33.0,123307945,2000-07-27,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
50,6282,Coyote Ugly,"['Comedy', 'Drama', 'Music', 'Romance']",6.2,1535,23.0,71.0,113916474,2000-07-30,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
51,9871,Ginger Snaps,['Horror'],6.8,532,,,0,2000-08-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,9383,Hollow Man,"['Action', 'Science Fiction', 'Thriller']",5.9,1763,27.0,28.0,190213455,2000-08-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
53,5551,Space Cowboys,"['Action', 'Adventure', 'Thriller']",6.4,957,78.0,53.0,128884132,2000-08-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,10641,Autumn in New York,"['Drama', 'Romance']",6.1,495,19.0,54.0,0,2000-08-11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
55,10393,The Replacements,['Comedy'],6.6,638,41.0,66.0,50054511,2000-08-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8843,The Cell,"['Horror', 'Science Fiction', 'Thriller']",6.3,1069,45.0,57.0,104155843,2000-08-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
57,1588,Bring It On,['Comedy'],6.2,1273,63.0,66.0,90449929,2000-08-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,134,"O Brother, Where Art Thou?","['Adventure', 'Comedy', 'Crime']",7.3,2962,78.0,89.0,71868327,2000-08-30,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,18079,Nine Queens,['Crime'],7.8,448,,,12413888,2000-08-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,107,Snatch,"['Crime', 'Comedy']",7.8,6639,73.0,93.0,83557872,2000-09-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,11978,Men of Honor,['Drama'],7.4,1535,42.0,81.0,48814909,2000-09-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,786,Almost Famous,"['Drama', 'Music']",7.5,1896,89.0,92.0,47383689,2000-09-15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
63,60670,The Crimson Rivers,"['Crime', 'Mystery', 'Thriller']",6.9,1037,68.0,70.0,0,2000-09-27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
64,843,In the Mood for Love,"['Drama', 'Romance']",8.1,1468,90.0,94.0,12854953,2000-09-29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65,10637,Remember the Titans,['Drama'],7.6,1901,73.0,93.0,136706683,2000-09-29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,1597,Meet the Parents,"['Comedy', 'Romance']",6.7,4505,84.0,79.0,330444045,2000-10-06,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,641,Requiem for a Dream,"['Crime', 'Drama', 'Thriller']",8.0,7245,79.0,93.0,7390108,2000-10-06,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,10481,102 Dalmatians,"['Comedy', 'Family']",5.5,1017,31.0,32.0,183611771,2000-10-07,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,77,Memento,"['Mystery', 'Thriller']",8.2,11051,93.0,94.0,39723096,2000-10-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
70,1636,Bedazzled,"['Fantasy', 'Comedy', 'Romance']",5.9,1270,50.0,42.0,90383208,2000-10-19,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
71,10647,Pay It Forward,['Drama'],7.3,1269,39.0,77.0,55707411,2000-10-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,4327,Charlie's Angels,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",5.8,3190,52.0,78.0,264105545,2000-11-02,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,4958,The Legend of Bagger Vance,"['Drama', 'Fantasy']",6.6,636,43.0,65.0,39459427,2000-11-02,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
74,8870,Red Planet,"['Thriller', 'Action', 'Science Fiction']",5.6,681,14.0,28.0,33463969,2000-11-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75,9678,Little Nicky,"['Comedy', 'Fantasy', 'Romance', 'Horror']",5.8,1276,22.0,55.0,58292295,2000-11-10,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
76,8871,How the Grinch Stole Christmas,"['Family', 'Comedy', 'Fantasy']",6.7,5314,,,345141403,2000-11-17,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77,8452,The 6th Day,"['Science Fiction', 'Mystery', 'Action']",5.9,1431,40.0,32.0,96085477,2000-11-17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
78,9741,Unbreakable,"['Thriller', 'Drama', 'Mystery']",7.1,7066,70.0,77.0,248118121,2000-11-22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
79,10876,Quills,['Drama'],7.2,440,75.0,83.0,7060876,2000-11-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,11849,Dungeons & Dragons,"['Drama', 'Adventure', 'Fantasy']",4.2,408,10.0,19.0,15185241,2000-12-08,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81,11678,Vertical Limit,"['Action', 'Thriller', 'Drama', 'Adventure']",5.9,707,48.0,41.0,215663859,2000-12-08,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
82,11983,Proof of Life,"['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']",6.1,549,39.0,43.0,0,2000-12-08,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
83,5994,The Family Man,"['Comedy', 'Drama', 'Romance', 'Fantasy']",6.7,1358,53.0,67.0,0,2000-12-12,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
84,3981,What Women Want,"['Comedy', 'Romance']",6.4,2932,,,374111707,2000-12-15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,11688,The Emperor's New Groove,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.5,4954,85.0,83.0,169327687,2000-12-15,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86,8859,"Dude, Where's My Car?","['Comedy', 'Science Fiction']",5.5,1302,17.0,47.0,73180723,2000-12-15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,3176,Battle Royale,"['Drama', 'Thriller', 'Action']",7.3,2337,88.0,89.0,25000000,2000-12-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,711,Finding Forrester,['Drama'],7.1,760,74.0,79.0,80049764,2000-12-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,1493,Miss Congeniality,"['Comedy', 'Crime', 'Action']",6.5,2883,41.0,69.0,212000000,2000-12-22,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,8358,Cast Away,"['Adventure', 'Drama']",7.6,8465,89.0,84.0,429632142,2000-12-22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,10577,Dracula 2000,"['Thriller', 'Horror']",5.0,443,17.0,39.0,47053625,2000-12-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
92,11973,Thirteen Days,['Thriller'],7.0,488,83.0,80.0,34566746,2000-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,9816,Save the Last Dance,"['Drama', 'Family', 'Romance', 'Music']",6.5,974,53.0,59.0,131706809,2001-01-12,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
94,11826,Sexy Beast,"['Crime', 'Drama', 'Thriller']",7.0,495,87.0,85.0,0,2001-01-12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
95,39939,Super Troopers,"['Comedy', 'Crime', 'Mystery']",6.7,761,35.0,90.0,18492362,2001-01-18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,5955,The Pledge,"['Crime', 'Drama', 'Mystery', 'Thriller']",6.6,645,78.0,59.0,29400000,2001-01-19,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
97,1903,Vanilla Sky,"['Romance', 'Science Fiction', 'Fantasy', 'Thriller']",6.8,2918,42.0,72.0,203388341,2001-01-22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
98,2018,The Wedding Planner,"['Comedy', 'Romance']",5.9,1248,17.0,59.0,94728529,2001-01-26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,6312,Brotherhood of the Wolf,"['Adventure', 'Horror', 'Action', 'History']",6.7,1055,73.0,78.0,70752904,2001-01-31,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100,768,From Hell,"['Horror', 'Mystery', 'Thriller']",6.7,2053,57.0,66.0,74558115,2001-02-08,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
101,9740,Hannibal,"['Crime', 'Drama', 'Thriller', 'Horror']",6.7,3340,40.0,62.0,351692268,2001-02-08,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
102,1921,Sweet November,"['Drama', 'Romance']",6.8,951,15.0,76.0,65754228,2001-02-16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
103,12138,3000 Miles to Graceland,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",5.8,427,14.0,46.0,18720175,2001-02-23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,2749,15 Minutes,"['Action', 'Crime', 'Thriller']",5.9,498,32.0,37.0,56359980,2001-03-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,6073,The Mexican,"['Action', 'Comedy', 'Crime', 'Romance']",5.9,1054,54.0,44.0,147845033,2001-03-01,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,853,Enemy at the Gates,"['Drama', 'War', 'History']",7.4,2509,53.0,82.0,96976270,2001-03-14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
107,10054,Spy Kids,"['Action', 'Comedy', 'Family', 'Adventure']",5.8,2566,93.0,46.0,147934180,2001-03-18,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,10833,Heartbreakers,"['Crime', 'Comedy', 'Romance']",6.0,646,54.0,51.0,0,2001-03-23,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,4133,Blow,"['Crime', 'Drama']",7.4,3290,55.0,87.0,83282296,2001-04-04,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,2043,Along Came a Spider,"['Crime', 'Mystery', 'Thriller', 'Action']",6.3,1252,32.0,53.0,105178561,2001-04-06,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
111,56715,Just Visiting,"['Comedy', 'Fantasy', 'Science Fiction']",4.6,483,33.0,53.0,0,2001-04-06,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
112,10956,Joe Dirt,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']",5.6,534,10.0,63.0,30987695,2001-04-10,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
113,9290,Crocodile Dundee in Los Angeles,"['Adventure', 'Comedy']",5.2,420,11.0,25.0,39438674,2001-04-12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,634,Bridget Jones's Diary,"['Comedy', 'Romance', 'Drama']",6.7,3857,80.0,81.0,281929795,2001-04-13,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
115,1433,The Devil's Backbone,"['Fantasy', 'Drama', 'Horror', 'Thriller']",7.3,788,,,6582065,2001-04-20,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
116,194,Amélie,"['Comedy', 'Romance']",7.9,8782,89.0,95.0,173921954,2001-04-25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
117,10477,Driven,['Action'],5.1,491,14.0,33.0,54744738,2001-04-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1734,The Mummy Returns,"['Adventure', 'Action', 'Fantasy']",6.3,5252,47.0,63.0,443280904,2001-05-04,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,2057,Original Sin,['Thriller'],6.0,593,12.0,61.0,35402320,2001-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
